id,term,event,censor,woman
201303,1,0,0,1
201303,2,1,0,1
201304,1,0,0,1
201304,2,0,0,1
201304,3,1,0,1
201305,1,0,1,1
201305,2,0,1,1
201311,1,0,1,0
201311,2,0,1,0
201311,3,0,1,0
201311,4,0,1,0
201311,5,0,1,0
201316,1,0,0,0
201316,2,0,0,0
201316,3,0,0,0
201316,4,0,0,0
201316,5,1,0,0
201317,1,0,1,1
201317,2,0,1,1
201317,3,0,1,1
201320,1,0,1,0
201321,1,0,0,1
201321,2,0,0,1
201321,3,0,0,1
201321,4,0,0,1
201321,5,1,0,1
201322,1,0,0,1
201322,2,1,0,1
201324,1,0,1,1
201324,2,0,1,1
201324,3,0,1,1
201327,1,0,0,0
201327,2,0,0,0
201327,3,1,0,0
201328,1,0,1,0
201328,2,0,1,0
201328,3,0,1,0
201334,1,0,1,1
201334,2,0,1,1
201339,1,0,0,1
201339,2,1,0,1
201340,1,0,0,0
201340,2,0,0,0
201340,3,1,0,0
201341,1,0,0,1
201341,2,0,0,1
201341,3,0,0,1
201341,4,0,0,1
201341,5,1,0,1
201344,1,0,1,0
201346,1,0,0,0
201346,2,0,0,0
201346,3,1,0,0
201347,1,0,0,1
201347,2,1,0,1
201349,1,0,1,1
201349,2,0,1,1
201350,1,0,1,0
201350,2,0,1,0
201350,3,0,1,0
201351,1,0,0,0
201351,2,0,0,0
201351,3,1,0,0
201352,1,1,0,1
201353,1,0,1,1
201353,2,0,1,1
201353,3,0,1,1
201356,1,0,0,1
201356,2,1,0,1
201359,1,0,0,0
201359,2,1,0,0
201360,1,0,0,0
201360,2,0,0,0
201360,3,1,0,0
201361,1,0,1,1
201364,1,0,1,1
201364,2,0,1,1
201364,3,0,1,1
201367,1,0,0,0
201367,2,1,0,0
201374,1,0,0,1
201374,2,1,0,1
201379,1,0,0,1
201379,2,1,0,1
203349,1,0,1,0
203350,1,0,1,1
203350,2,0,1,1
203350,3,0,1,1
203359,1,0,0,1
203359,2,1,0,1
204301,1,1,0,0
204302,1,0,0,1
204302,2,1,0,1
204304,1,0,1,0
204304,2,0,1,0
204304,3,0,1,0
204304,4,0,1,0
204304,5,0,1,0
204305,1,0,1,0
204305,2,0,1,0
204307,1,0,1,1
204307,2,0,1,1
204307,3,0,1,1
204308,1,0,1,0
204308,2,0,1,0
204308,3,0,1,0
204308,4,0,1,0
204308,5,0,1,0
204310,1,0,0,1
204310,2,0,0,1
204310,3,1,0,1
204311,1,1,0,1
204312,1,0,1,0
204312,2,0,1,0
204312,3,0,1,0
204313,1,1,0,0
204314,1,0,0,0
204314,2,1,0,0
204315,1,0,0,0
204315,2,1,0,0
204316,1,0,0,0
204316,2,1,0,0
204318,1,1,0,1
204319,1,0,1,1
204319,2,0,1,1
204320,1,0,1,1
204320,2,0,1,1
204320,3,0,1,1
204322,1,0,0,0
204322,2,1,0,0
204323,1,0,1,1
204323,2,0,1,1
204323,3,0,1,1
204324,1,0,0,0
204324,2,0,0,0
204324,3,0,0,0
204324,4,1,0,0
204325,1,0,1,0
204325,2,0,1,0
204325,3,0,1,0
204327,1,0,0,1
204327,2,1,0,1
204330,1,0,1,1
204331,1,0,0,1
204331,2,0,0,1
204331,3,0,0,1
204331,4,1,0,1
204332,1,1,0,0
204333,1,0,0,1
204333,2,0,0,1
204333,3,0,0,1
204333,4,1,0,1
204336,1,0,1,0
204336,2,0,1,0
204336,3,0,1,0
204336,4,0,1,0
204336,5,0,1,0
204337,1,0,0,0
204337,2,0,0,0
204337,3,0,0,0
204337,4,1,0,0
204338,1,0,0,1
204338,2,0,0,1
204338,3,1,0,1
204339,1,0,0,0
204339,2,1,0,0
204342,1,0,0,1
204342,2,1,0,1
204343,1,0,1,1
204343,2,0,1,1
204343,3,0,1,1
204345,1,0,1,0
204345,2,0,1,0
204345,3,0,1,0
204347,1,0,1,0
204349,1,0,0,0
204349,2,0,0,0
204349,3,0,0,0
204349,4,0,0,0
204349,5,1,0,0
204350,1,0,1,1
204350,2,0,1,1
204350,3,0,1,1
204350,4,0,1,1
204350,5,0,1,1
204352,1,0,0,1
204352,2,1,0,1
204353,1,0,1,0
204353,2,0,1,0
204353,3,0,1,0
204354,1,0,1,1
204354,2,0,1,1
204354,3,0,1,1
204354,4,0,1,1
204356,1,0,0,1
204356,2,0,0,1
204356,3,1,0,1
204358,1,1,0,0
204360,1,0,0,1
204360,2,1,0,1
204361,1,0,1,1
204361,2,0,1,1
204361,3,0,1,1
204362,1,0,0,1
204362,2,0,0,1
204362,3,0,0,1
204362,4,0,0,1
204362,5,1,0,1
204363,1,0,0,0
204363,2,0,0,0
204363,3,0,0,0
204363,4,0,0,0
204363,5,1,0,0
204364,1,0,0,0
204364,2,0,0,0
204364,3,0,0,0
204364,4,1,0,0
204367,1,0,0,1
204367,2,0,0,1
204367,3,1,0,1
204368,1,0,0,0
204368,2,1,0,0
204369,1,0,1,0
204369,2,0,1,0
204369,3,0,1,0
204369,4,0,1,0
204369,5,0,1,0
204370,1,0,0,1
204370,2,0,0,1
204370,3,1,0,1
204371,1,0,0,1
204371,2,0,0,1
204371,3,1,0,1
204373,1,0,1,1
204373,2,0,1,1
204373,3,0,1,1
204374,1,0,1,0
204374,2,0,1,0
204374,3,0,1,0
204374,4,0,1,0
204374,5,0,1,0
204375,1,0,0,0
204375,2,0,0,0
204375,3,1,0,0
204376,1,0,1,1
204376,2,0,1,1
204376,3,0,1,1
204377,1,0,0,1
204377,2,1,0,1
204378,1,0,1,0
205305,1,0,1,1
205307,1,0,1,0
205307,2,0,1,0
205309,1,0,0,0
205309,2,1,0,0
205310,1,0,1,1
205312,1,0,1,0
205312,2,0,1,0
205312,3,0,1,0
205315,1,0,1,0
205315,2,0,1,0
205315,3,0,1,0
205317,1,0,0,1
205317,2,0,0,1
205317,3,1,0,1
205319,1,0,0,0
205319,2,1,0,0
205320,1,0,0,1
205320,2,1,0,1
205321,1,0,0,1
205321,2,1,0,1
205322,1,0,1,1
205324,1,0,0,0
205324,2,1,0,0
205325,1,0,0,1
205325,2,0,0,1
205325,3,1,0,1
205327,1,0,1,0
205328,1,0,1,0
205331,1,0,0,0
205331,2,0,0,0
205331,3,1,0,0
205333,1,0,1,0
205334,1,0,0,1
205334,2,0,0,1
205334,3,0,0,1
205334,4,1,0,1
205336,1,0,1,1
205337,1,0,1,1
205337,2,0,1,1
205337,3,0,1,1
205338,1,0,1,0
205338,2,0,1,0
205338,3,0,1,0
205340,1,0,1,0
205341,1,0,0,1
205341,2,1,0,1
205342,1,0,0,1
205342,2,0,0,1
205342,3,0,0,1
205342,4,0,0,1
205342,5,1,0,1
205345,1,0,0,0
205345,2,0,0,0
205345,3,0,0,0
205345,4,1,0,0
205346,1,0,1,1
205346,2,0,1,1
205346,3,0,1,1
205347,1,0,1,0
205347,2,0,1,0
205356,1,0,1,0
205359,1,0,0,1
205359,2,0,0,1
205359,3,0,0,1
205359,4,1,0,1
205361,1,1,0,1
205362,1,0,1,0
205362,2,0,1,0
205362,3,0,1,0
205363,1,0,1,0
205363,2,0,1,0
205364,1,0,0,1
205364,2,0,0,1
205364,3,0,0,1
205364,4,1,0,1
205366,1,0,0,0
205366,2,0,0,0
205366,3,1,0,0
205367,1,0,1,0
205368,1,0,0,1
205368,2,0,0,1
205368,3,1,0,1
205369,1,0,0,1
205369,2,0,0,1
205369,3,0,0,1
