id,days,months,censor,person_crime,property_crime,age
1,2,0.06570841889117043,0,1,1,-1.675197757186858
2,4,0.13141683778234087,0,0,1,-10.48286373939083
3,7,0.2299794661190965,0,1,1,-4.426737798254621
4,9,0.29568788501026694,0,0,1,-11.328859632614648
5,9,0.29568788501026694,0,1,1,-7.164588585386724
6,10,0.32854209445585214,0,1,0,-2.8689007003764573
7,15,0.4928131416837782,0,0,1,-6.428106723648188
8,19,0.6242299794661191,1,1,1,22.450743379021215
9,21,0.6899383983572895,0,1,1,-12.486970515571528
10,22,0.7227926078028748,0,1,1,-9.409626230835045
11,24,0.7885010266940452,0,0,1,-8.517086874229982
12,25,0.8213552361396304,1,0,0,-4.352815827002054
13,27,0.8870636550308009,0,1,1,-5.63412999537988
14,32,1.051334702258727,0,1,1,-4.766231295859001
15,33,1.0841889117043122,0,0,1,-4.569106039185492
16,37,1.215605749486653,0,0,1,-8.59648454705681
17,38,1.2484599589322383,1,1,1,19.762173906057495
18,39,1.2813141683778233,0,0,1,8.194754330424363
19,42,1.379876796714579,0,0,1,-3.241248407426422
20,46,1.51129363449692,0,0,1,-7.881905491615335
21,49,1.6098562628336757,0,0,1,-5.508188859171803
22,52,1.7084188911704312,1,0,0,0.2577248985284051
23,63,2.0698151950718686,0,0,1,1.998997999144418
24,65,2.135523613963039,0,0,1,-8.440427052190284
25,68,2.2340862422997945,0,1,1,-0.9058616860027406
26,72,2.3655030800821355,0,0,1,-7.301481124743329
27,73,2.3983572895277208,0,1,1,-0.4212620966803584
28,73,2.3983572895277208,1,0,0,-6.053021165811089
29,77,2.529774127310062,0,1,1,-6.096826778405202
30,77,2.529774127310062,0,1,1,-8.111884957734429
31,78,2.5626283367556466,0,1,1,-4.727901384839154
32,82,2.6940451745379876,1,0,1,0.34807397450376243
33,85,2.7926078028747434,1,1,0,27.061284104551678
34,85,2.7926078028747434,0,0,0,-10.8469978940794
35,87,2.858316221765914,1,0,1,-5.584848681211501
36,89,2.924024640657084,1,0,1,-9.031802822210818
37,91,2.9897330595482545,0,0,1,-2.9400848208418893
38,93,3.055441478439425,0,1,1,-3.758702206194389
39,95,3.1211498973305956,0,1,1,-2.581426367727584
40,96,3.154004106776181,1,1,1,8.293316958761121
41,97,3.186858316221766,1,1,0,2.4972868424024632
42,97,3.186858316221766,0,1,1,-2.5677371137919245
43,98,3.2197125256673513,0,1,1,1.4350007369952102
44,101,3.3182751540041067,0,0,1,-5.981837045345657
45,108,3.5482546201232035,1,1,1,-1.2426173328199894
46,116,3.811088295687885,0,1,1,0.30153051112251816
47,122,4.008213552361396,1,0,0,-1.812090296543463
48,123,4.041067761806982,0,1,1,0.46306370756331106
49,130,4.271047227926078,1,0,1,1.9853087452087586
50,131,4.303901437371663,0,0,1,-3.884643342402466
51,142,4.6652977412731005,0,0,1,3.6636112777207366
52,146,4.7967145790554415,0,0,1,-9.215238824948667
53,149,4.895277207392197,0,0,1,0.4767529614989705
54,150,4.9281314168377826,1,0,1,-3.4328979625256686
55,151,4.960985626283367,1,0,1,10.417889169575634
56,158,5.190965092402464,0,0,1,10.894275206536616
57,165,5.420944558521561,0,0,1,-6.069448270533883
58,166,5.453798767967146,1,0,1,-2.792240878336756
59,166,5.453798767967146,0,0,1,-5.713527668206709
60,167,5.486652977412731,1,0,1,-8.207709735284052
61,172,5.650924024640657,0,1,1,-5.6615085032511985
62,178,5.848049281314168,0,0,1,-7.137210077515402
63,178,5.848049281314168,0,1,1,-10.584164218514719
64,178,5.848049281314168,1,0,1,-3.723110145961673
65,184,6.04517453798768,0,0,1,0.5780534406228597
66,190,6.242299794661191,0,0,1,-3.3726652452087613
67,192,6.308008213552362,0,0,1,-5.601275785934291
68,195,6.406570841889117,0,0,1,-6.203602959103357
69,202,6.636550308008213,1,0,0,17.407622229123884
70,203,6.669404517453799,0,0,1,-4.054390091204656
71,203,6.669404517453799,1,0,1,-9.056443479295005
72,207,6.80082135523614,0,0,0,-1.2261902280971952
73,207,6.80082135523614,0,0,1,-8.095457853011638
74,208,6.833675564681725,1,0,1,10.760120517967142
75,211,6.93223819301848,1,0,1,0.7505380402121808
76,214,7.030800821355236,0,1,1,1.6841451586242293
77,214,7.030800821355236,1,0,1,3.340544884839151
78,216,7.096509240246407,0,0,1,-2.285738482717317
79,219,7.195071868583162,0,0,1,-11.728585847535935
80,220,7.227926078028747,1,0,0,25.09550723939083
81,224,7.359342915811088,0,1,1,-1.0975112411019872
82,226,7.425051334702259,0,0,1,-0.9387158954483255
83,228,7.490759753593429,0,0,1,-8.043438688056128
84,232,7.62217659137577,1,0,0,16.361763228439425
85,234,7.687885010266941,0,0,1,-4.273418154175225
86,237,7.786447638603696,0,0,1,4.703994576830933
87,243,7.983572895277208,0,0,1,-6.91270631297057
88,255,8.37782340862423,1,0,1,-0.10367140537303499
89,256,8.410677618069816,1,0,1,-4.473281261635869
90,276,9.067761806981519,0,1,1,9.725212920431208
91,277,9.100616016427105,0,1,1,-5.198811720225873
92,283,9.297741273100616,1,0,1,13.821037697980831
93,285,9.363449691991786,0,0,1,-0.4595920077002056
94,289,9.494866529774127,0,0,1,-6.384301111054075
95,300,9.856262833675565,1,0,0,4.810770757529088
96,305,10.020533880903491,1,0,1,-5.499975306810406
97,309,10.151950718685832,1,0,1,6.201598957392196
98,314,10.316221765913758,1,0,1,19.60337856040383
99,322,10.57905544147844,1,1,1,3.6636112777207366
100,333,10.940451745379876,0,1,1,11.020216342744693
101,335,11.006160164271048,0,0,1,-1.943507134325806
102,336,11.039014373716633,1,1,1,4.109880956023272
103,342,11.236139630390143,0,0,1,9.388457273613962
104,350,11.498973305954825,1,0,1,-4.886696730492815
105,355,11.663244353182751,1,1,1,3.597902858829567
106,356,11.696098562628336,0,0,0,16.20296788278576
107,358,11.761806981519507,0,1,1,-4.560892486824095
108,366,12.02464065708419,0,1,0,0.802557205167691
109,369,12.123203285420944,0,0,1,-0.24603964630390252
110,373,12.254620123203285,0,0,1,5.166691359856262
111,385,12.648870636550308,0,0,1,-11.2138698995551
112,400,13.141683778234086,0,1,1,-6.288476333504452
113,401,13.174537987679672,0,0,1,-9.012637866700892
114,415,13.634496919917865,0,0,0,-6.395252514202603
115,418,13.73305954825462,1,0,1,2.7081013530116316
116,419,13.765913757700206,1,1,1,9.328224556297055
117,425,13.963039014373717,0,1,1,-0.8155126100273797
118,427,14.028747433264886,0,0,1,-4.426737798254621
119,429,14.094455852156058,0,1,1,3.168060285249826
120,438,14.390143737166325,0,1,1,6.866896698665297
121,447,14.685831622176591,1,0,1,6.749169114818617
122,453,14.882956878850102,0,0,1,1.1256235980492804
123,454,14.915811088295689,0,0,1,-8.790871952943192
124,454,14.915811088295689,1,1,1,-0.35829152857631996
125,469,15.408624229979466,0,1,1,-5.086559837953459
126,476,15.638603696098563,1,0,0,15.989415521389457
127,478,15.704312114989733,0,0,1,-4.785396251368926
128,479,15.737166324435318,0,0,1,-8.092720002224507
129,480,15.770020533880903,0,1,0,-11.246724109000684
130,486,15.967145790554415,1,0,1,22.390510661704308
131,489,16.06570841889117,0,1,1,9.700572263347023
132,492,16.164271047227928,0,1,1,-1.7628089823750877
133,515,16.919917864476385,1,1,1,15.699203337953453
